event,type,red1,red2,red3,redFinal,redFoul,redAuto,redTeleop,blue1,blue2,blue3,blueFinal,blueFoul,blueAuto,blueTeleop
CASB,P,4705,4161,1622,12,0,0,12,3491,4322,4140,0,0,0,0
MNMI2,P,3291,3928,3747,15,0,15,0,2177,2225,1816,1,0,1,0
CASB,P,691,1138,4056,12,0,0,12,968,867,3880,0,0,0,0
DCWA,P,1418,116,166,70,0,30,30,4821,2912,1731,6,0,2,4
OKOK,P,3169,31,3593,2,0,2,0,2388,2004,2354,24,0,24,0
CASB,P,3473,3255,2658,12,0,0,12,3925,3295,3521,0,0,0,0
CASB,P,4019,4139,1828,12,0,0,12,4556,2637,4,0,0,0,0
FLBR,P,4706,386,1065,39,0,15,24,1523,2815,1902,66,0,48,18
OHCL,P,4165,1014,4119,42,0,20,12,3591,3260,4121,17,3,4,0
CTHA,P,1289,1699,2836,9,3,6,0,230,3104,228,50,0,32,18
TXSA,P,1429,3679,1477,50,3,35,12,1987,3545,801,63,26,9,18
ONTO2,P,3756,2634,4595,51,9,12,30,1241,1114,2056,237,0,117,70
DCWA,P,383,611,2630,109,0,57,42,612,3123,686,83,0,41,32
TNKN,P,2190,4740,3856,24,0,14,0,4098,4265,3516,85,0,57,18
MNMI2,P,3926,2207,4663,0,0,0,0,2606,4239,3298,11,0,7,4
MNMI,P,3007,2508,4859,61,29,2,0,2705,2498,3102,77,0,19,18
FLBR,P,2797,3932,4592,35,0,7,8,2383,1683,744,44,0,14,30
OKOK,P,1806,4523,938,94,0,36,18,2165,1742,3507,33,0,11,22
CTHA,P,1124,3461,3464,44,0,20,24,2170,2064,181,22,0,12,0
MNMI2,P,3023,3130,3290,4,0,4,0,3261,2239,3848,10,0,0,0
ONTO2,P,1310,3705,4704,47,0,3,24,2013,1334,4825,120,0,22,38
TXSA,P,57,457,4400,39,0,21,18,1785,3999,4271,7,0,3,4
WASE,P,4038,2522,948,0,0,0,0,3662,3238,4450,0,0,0,0
MNMI,P,525,3454,3313,77,20,15,12,2052,2529,2987,44,0,38,6
DCWA,P,2974,2911,166,56,0,36,0,2642,620,379,142,0,76,36
CTHA,P,20,558,1289,115,0,59,36,1218,571,1665,82,0,34,18
TNKN,P,3140,2614,4092,43,0,27,6,1225,4462,3844,54,0,42,12
MNMI2,P,1816,3130,3722,73,9,34,30,3206,4632,2239,17,0,7,0
OKOK,P,2165,2354,2388,46,0,18,18,2461,2352,2004,21,0,21,0
TXSA,P,57,457,801,17,0,5,12,1785,1642,3481,44,20,10,4
FLBR,P,4707,1065,86,41,20,15,6,1523,21,1369,39,0,21,18
ONTO2,P,2056,3571,4039,157,3,78,76,1114,1503,4518,128,0,94,34
DCWA,P,1418,116,2912,75,0,41,24,686,2630,4821,51,0,15,26
MNMI2,P,3690,2883,1816,67,0,21,36,3090,4778,3691,10,0,0,0
TXSA,P,57,457,653,48,0,24,24,1785,3335,3545,37,0,13,4
MNMI,P,3407,2518,4664,25,0,3,12,4207,2502,4229,49,0,21,18
TNKN,P,2393,2190,4642,22,0,6,6,3824,3966,4265,77,0,45,12
CTHA,P,3204,3146,2067,47,0,21,6,1740,178,1027,18,0,6,12
OKOK,P,1775,1448,1806,45,0,15,0,2461,2765,2004,0,0,0,0
OHCL,P,3266,201,2010,43,0,27,16,461,340,4085,121,0,23,48
ONTO2,P,4595,1547,1334,154,0,60,54,3683,4704,4754,65,0,5,40
MNMI2,P,4239,3275,1816,10,0,0,0,2574,3261,2667,37,0,15,12
FLBR,P,4184,1683,2815,0,0,0,0,1902,1065,386,45,0,23,12
CTHA,P,3555,173,195,66,0,60,6,237,2170,3464,18,0,6,12
DCWA,P,1389,2642,379,129,20,59,30,686,614,1885,11,0,7,4
TXSA,P,1477,3240,3679,28,0,28,0,4219,3028,3696,6,0,6,0
TNKN,P,1225,4740,4576,16,0,0,6,1249,1311,4554,22,0,0,12
MNMI2,P,2883,2606,4665,20,0,2,18,171,3026,3206,13,0,9,4
MNMI,P,2529,2545,525,21,0,9,12,2508,2823,4536,0,0,0,0
OHCL,P,695,461,3777,88,66,0,12,1450,4269,639,57,3,0,24
FLBR,P,21,180,3659,6,0,6,0,1065,1683,168,29,0,23,6
ONTO2,P,2994,4039,1114,153,0,99,54,3571,3117,2013,68,0,36,32
TNKN,P,2190,4396,1311,16,0,6,0,3824,3984,829,76,0,30,26
MNMI2,P,3633,967,1816,39,0,39,0,3042,4632,2225,22,0,2,0
TXSA,P,1477,624,3679,27,0,19,8,4670,1785,3029,12,0,8,4
DCWA,P,1522,1418,2963,28,0,12,6,4821,116,53,8,0,0,8
OKOK,P,1806,3457,2389,20,20,0,0,2765,1209,1986,0,0,0,0
OHCL,P,4283,1507,781,91,0,35,36,1528,1014,1126,41,0,9,22
FLBR,P,21,1523,3932,21,3,0,18,832,3992,386,45,0,27,18
CTHA,P,236,1699,3104,20,0,2,18,175,571,1289,50,0,40,0
MNMI,P,3100,2518,3244,24,0,10,4,3007,2515,2825,34,0,0,4
ONTO2,P,4595,3117,1334,105,0,57,48,3571,2056,3683,154,0,86,68
MNMI2,P,2525,4663,2606,26,6,0,0,2239,3261,2531,20,0,14,6
WASE,P,2412,1258,3826,6,0,6,0,2906,3221,4304,0,0,0,0
DCWA,P,138,1522,2961,29,0,17,2,2642,2963,116,64,0,34,30
TNKN,P,2393,3196,1225,56,0,10,6,4016,2856,1319,0,0,0,0
TXSA,P,3417,624,3679,69,0,57,12,1785,1429,801,47,0,7,40
OHCL,P,4165,1787,1450,29,0,11,18,201,4611,2197,16,0,2,14
ONTO2,P,4039,3683,2994,135,0,51,54,2013,4595,771,84,0,24,30
MNMI,P,2518,2511,2470,6,0,0,6,2855,3524,2500,10,0,0,0
OKOK,P,1806,2369,2389,0,0,0,0,1448,476,1742,0,0,0,0
CTHA,P,3461,230,558,69,0,33,6,20,1665,4572,68,0,48,0
MNMI2,P,2654,2847,3883,58,0,30,18,4648,2207,3690,0,0,0,0
TNKN,P,3843,3961,547,2,0,2,0,2190,3675,3972,10,0,0,0
FLBR,P,180,1902,744,24,0,12,12,665,4184,3472,16,0,0,6
WASE,P,2412,3218,2910,18,0,18,0,2930,3238,1778,45,0,15,30
DCWA,P,1522,3941,4242,18,3,15,0,2630,4821,2534,69,0,41,18
CASB,P,2493,2485,207,32,0,18,14,3925,4140,1622,32,0,28,4
MNMI2,P,2606,4244,2883,13,0,3,0,3699,2667,3023,2,0,2,0
CTHA,P,3104,2064,195,72,0,50,12,1289,178,3464,43,0,33,0
OHCL,P,3777,1317,1629,61,0,33,18,4085,4145,1270,88,23,45,0
TNKN,P,1319,2393,4265,85,0,41,24,2614,829,4098,22,0,10,12
OKOK,P,2389,932,2373,20,0,0,0,938,1742,476,0,0,0,0
ONTO2,P,772,1334,4817,102,0,60,42,1815,3683,3161,90,20,28,42
FLBR,P,1523,3242,2152,21,0,21,0,4707,21,1683,45,0,27,18
TXSA,P,2969,3029,3679,7,0,1,6,1429,801,4597,31,0,11,20
WASE,P,2605,3781,4681,0,0,0,0,2903,4579,4089,36,6,8,12
MNMI,P,3081,3007,3102,40,0,10,0,2509,4859,3765,0,0,0,0
MNMI2,P,3883,4778,171,52,0,30,12,3130,3747,4225,21,0,3,18
CASB,P,2493,3880,687,18,0,6,12,3925,4140,4470,14,0,14,0
DCWA,P,620,709,79,48,0,16,12,2630,383,1389,93,0,47,36
OHCL,P,3266,340,2252,161,20,53,48,1747,2340,781,46,0,36,0
CTHA,P,2064,20,95,47,0,29,18,1784,1027,1218,36,0,18,18
TXSA,P,624,1642,3999,101,0,57,24,57,801,1785,55,0,9,46
ONTO2,P,3117,1114,2634,110,0,74,36,907,1547,2994,75,0,25,50
MNMI,P,2518,2502,3244,66,0,38,18,525,2846,3018,46,0,24,12
TNKN,P,2190,3797,1249,44,0,12,12,3227,3116,4630,2,0,2,0
OKOK,P,2435,1986,1806,0,0,0,0,2004,2352,3931,0,0,0,0
CASB,P,2493,3255,2429,40,0,26,14,207,2637,687,29,0,25,4
MNMI2,P,2220,4663,3026,26,0,6,0,4239,3290,967,16,0,12,4
OHCL,P,1590,3260,2399,24,3,3,8,4283,1450,706,89,0,49,30
FLBR,P,59,4013,4517,10,0,0,10,179,3938,4707,18,0,0,18
CTHA,P,1991,95,20,66,0,36,20,1784,1289,1218,36,0,6,0
ONTO2,P,3161,3683,4716,79,0,33,36,4825,1503,4039,134,32,44,38
TNKN,P,3844,2614,4554,8,0,8,0,3821,3984,4642,10,0,0,0
MNMI,P,4850,4549,2705,14,0,4,0,2479,4626,4360,3,3,0,0
CASB,P,1422,585,4056,37,0,19,18,4160,2637,207,27,9,2,16
DCWA,P,614,836,1731,30,0,18,12,4466,383,611,82,40,18,24
OKOK,P,2435,2765,3798,0,0,0,0,1448,2359,2773,20,0,0,0
MNMI2,P,2175,1816,3130,62,0,18,24,2549,2574,2525,40,0,24,6
FLBR,P,86,2815,179,83,0,27,36,1683,2152,4262,36,0,26,0
WASE,P,492,3663,4089,2,0,2,0,4334,2942,1983,0,0,0,0
TXSA,P,4635,57,1477,1057,966,15,6,3103,1785,2985,532,506,16,10
CTHA,P,3461,999,1124,22,0,22,0,558,1289,3464,50,0,24,6
CASB,P,1422,1266,4161,29,0,21,8,4160,2637,2658,8,3,5,0
MNMI2,P,2225,1816,3691,6,0,0,6,4607,2177,4226,25,0,5,0
OHCL,P,340,4121,4269,29,0,11,8,2172,2228,4611,10,0,0,10
MNMI,P,2502,2538,3300,19,0,3,6,3630,2450,3007,20,0,0,0
FLBR,P,2797,4707,665,48,0,16,12,2383,1523,141,73,0,7,26
WASE,P,4030,3574,948,8,0,0,8,2412,949,4309,0,0,0,0
DCWA,P,614,836,3123,21,3,6,12,4464,611,612,63,0,45,18
ONTO2,P,1114,3117,2994,193,20,69,54,2056,4817,4343,144,0,96,28
TNKN,P,2190,3196,4020,75,0,25,0,4504,829,3140,14,0,0,4
WASE,P,3238,3684,4450,10,0,2,8,4469,1899,3681,0,0,0,0
CASB,P,751,867,4140,40,0,0,0,4160,2637,696,0,0,0,0
CTHA,P,571,178,4134,13,0,7,6,4055,3464,2067,56,0,42,4
OHCL,P,2603,461,3003,86,3,45,18,1014,3260,2016,64,0,42,12
MNMI,P,2498,4651,2450,15,0,3,12,2181,3745,2879,0,0,0,0
TNKN,P,4462,3783,4264,10,0,2,8,4576,4489,3829,0,0,0,0
CASB,P,3880,3647,1138,0,0,0,0,2658,2637,4470,0,0,0,0
CTHA,P,3146,558,4628,19,0,9,0,1289,839,2067,50,0,28,12
DCWA,P,2630,116,379,94,0,58,36,4466,620,2642,44,0,32,12
ONTO2,P,772,4039,4716,91,0,39,42,3571,2013,4343,66,0,12,34
FLBR,P,3932,3502,3376,24,0,8,6,141,386,21,44,0,0,24
WASE,P,4542,3826,3662,4,0,0,4,4772,4682,4579,0,0,0,0
TNKN,P,4016,2393,3966,6,0,0,6,3972,1311,3861,0,0,0,0
OHCL,P,1126,4385,2252,74,0,50,14,1317,4119,2016,33,0,9,24
WASE,P,3238,4461,2555,11,0,7,4,2928,1258,4077,0,0,0,0
CTHA,P,3555,3204,4097,23,0,3,0,1289,2067,4572,68,0,40,18
DCWA,P,1418,1885,3123,43,0,13,30,4466,2974,379,66,0,40,26
FLBR,P,3502,386,1523,25,3,14,8,2797,2152,108,9,3,6,0
WASE,P,3238,2605,492,17,0,5,12,3588,4077,3237,8,0,0,8
ONTO2,P,2056,4595,4518,108,0,60,48,4825,3683,2994,121,0,35,56
CTHA,P,2064,1665,694,35,0,25,0,2067,20,1740,70,0,60,0
TNKN,P,1319,3116,3961,48,0,30,18,4025,3844,4098,3,0,3,0
OHCL,P,3266,1629,4121,109,0,59,30,1014,2197,340,45,0,9,6
FLBR,P,4184,4471,21,30,3,7,0,2383,4707,141,40,0,16,24
ONTO2,P,3117,4083,771,67,0,33,24,3161,1241,2935,17,3,2,12
DCWA,P,2642,4821,116,40,0,24,16,79,1522,4466,24,0,18,6
CTHA,P,1991,3182,2785,21,0,3,18,1027,177,236,21,0,9,12
TNKN,P,4554,2614,4740,28,0,12,6,829,2190,4092,0,0,0,0
WASE,P,4512,2605,4683,12,0,0,12,3588,2927,1294,8,0,4,4
DCWA,P,339,2642,53,0,0,0,0,2911,79,1195,0,0,0,0
ONTO2,P,1310,4518,2634,50,0,32,18,772,2013,907,51,3,18,30
FLBR,P,3472,386,3932,15,3,12,0,180,4471,86,50,23,27,0
CTHA,P,3059,20,3104,70,0,40,30,3718,178,263,21,0,11,0
TNKN,P,3196,2856,4554,45,0,15,0,1249,4020,4479,32,0,6,6
OHCL,P,1270,2252,2603,133,20,59,24,1507,4165,2016,77,3,36,18
WASE,P,4038,2605,4548,36,0,18,18,3049,2927,2980,0,0,0,0
FLBR,P,21,1683,4013,36,0,26,10,4707,86,1523,79,0,35,24
ONTO2,P,2013,1114,1503,163,0,75,48,2056,1815,907,76,0,34,22
MNMI2,P,2606,3928,4632,3,0,3,0,2574,4665,4397,0,0,0,0
CTHA,P,20,1665,3104,70,0,28,42,3718,173,178,20,0,0,0
OHCL,P,4085,781,1450,55,0,15,30,2010,2834,1787,12,3,9,0
OKOK,P,476,2165,3593,12,12,0,0,2389,2388,1806,0,0,0,0
TNKN,P,1319,2393,4462,82,0,38,24,4020,4306,3227,0,0,0,0
MNMI2,P,3848,3722,2472,0,0,0,0,3206,3633,2531,0,0,0,0
DCWA,P,1418,686,116,0,0,0,0,2630,1522,4466,44,0,20,24
FLBR,P,21,1683,4013,28,0,12,6,4707,86,1523,37,0,9,28
MNMI,P,2825,3292,2232,0,0,0,0,2052,2500,3765,3,3,0,0
MNMI2,P,2606,2883,3042,37,0,5,12,4632,2574,2513,34,0,6,18
WASE,P,3070,2605,3576,21,0,3,18,4560,2930,3221,0,0,0,0
CTHA,P,2170,1784,2067,36,0,16,0,3555,1991,1218,59,0,27,12
ONTO2,P,2935,3161,4825,48,40,8,0,3683,1547,3705,41,0,3,28
OHCL,P,695,1014,1629,63,0,23,30,4269,120,2197,43,26,5,12
MNMI,P,3454,3018,2502,43,0,21,12,2511,3100,3765,0,0,0,0
TXSA,P,4271,3679,3320,7,0,7,0,3080,4670,499,0,0,0,0
MNMI2,P,3090,2491,3722,21,0,11,0,3206,3883,2531,54,0,32,12
OKOK,P,3593,2388,476,0,0,0,0,2389,2373,2165,0,0,0,0
TXSA,P,3999,3679,4063,10,0,10,0,1785,2583,457,0,0,0,0
MNMI,P,2502,3407,2987,55,3,30,12,2515,3299,2545,0,0,0,0
MNMI2,P,2525,3690,2220,4,0,2,2,2667,3747,4226,0,0,0,0
MNMI,P,3081,4207,2518,0,0,0,0,525,2538,2508,22,0,0,12
MNMI2,P,2549,2654,3699,8,0,8,0,4632,3130,2606,11,0,11,0
OKOK,P,2359,1742,1448,40,0,10,0,2354,1775,2373,90,60,0,0
TXSA,P,3997,3679,3029,14,0,10,4,1785,4400,4842,0,0,0,0
MNMI2,P,2883,3883,3130,96,0,30,36,2574,3206,3026,32,0,10,12
MNMI,P,2879,3058,2502,0,0,0,0,525,4850,4277,0,0,0,0
TXSA,P,3335,3679,3481,81,75,2,4,1785,457,4219,89,89,0,0
MNMI,P,2846,3202,2479,0,0,0,0,3300,2498,3082,0,0,0,0
MNMI2,P,4665,4607,2177,0,0,0,0,2513,4663,2175,35,3,6,6
OKOK,P,2359,3179,1448,0,0,0,0,1775,3152,476,0,0,0,0
TXSA,P,4282,3679,1642,4,0,0,4,3561,3545,624,0,0,0,0
MNMI2,P,3090,2531,2574,14,0,2,12,4244,3275,2207,3,0,3,0
MNMI,P,3745,4549,2502,16,0,0,6,2529,3184,2855,17,0,13,4
FLBR,P,665,4224,1902,10,0,0,10,179,3659,3242,8,0,0,8
FLBR,P,1251,168,2152,10,0,0,10,3376,744,2797,8,0,0,8
MNMI2,P,2143,4225,3883,30,0,24,6,4198,2606,3848,16,0,0,16
ONTO2,P,2013,4343,1241,51,0,9,42,3117,4732,4704,37,0,21,16
FLBR,P,386,2797,4321,31,26,5,0,744,141,180,20,6,6,8
MNMI,P,525,3313,4549,74,0,36,18,2227,4667,3038,0,0,0,0
TXSA,P,3028,4696,3999,0,0,0,0,3834,3545,4597,0,0,0,0
OKOK,P,1806,3931,2773,0,0,0,0,2795,476,3507,0,0,0,0
MNMI2,P,3206,3023,4397,0,0,0,0,3261,1816,3926,0,0,0,0
ONTO2,P,2013,3756,772,54,0,30,24,907,4039,1815,56,0,40,16
CTHA,P,4055,1740,3718,11,0,11,0,2168,20,4097,73,0,45,18
TNKN,P,1319,3196,4576,0,0,0,0,2817,3821,1225,0,0,0,0
MNMI2,P,3206,3290,3691,0,0,0,0,3883,2472,3610,54,0,0,54
TXSA,P,1429,3545,3478,0,0,0,0,1785,3614,3582,0,0,0,0
FLBR,P,386,108,4321,20,0,20,0,744,4707,3502,61,0,37,24
CTHA,P,1289,571,4572,16,0,6,0,3146,2170,3719,37,0,7,0
TNKN,P,1319,2393,3516,12,0,0,12,4642,4264,547,7,0,7,0
FLBR,P,141,3376,4592,18,3,9,6,1683,2383,1902,94,3,33,18
MNMI2,P,4648,2239,3928,0,0,0,0,2532,3298,4778,0,0,0,0
OHCL,P,639,1014,1450,27,0,21,6,1629,1551,201,44,9,13,12
ONTO2,P,1334,4039,3756,12,0,0,12,1075,2013,1815,4,0,0,4
OKOK,P,1209,3660,2435,0,0,0,0,441,1510,2395,0,0,0,0
DCWA,P,1522,4456,116,10,0,4,6,2630,1731,615,2,0,2,0
MNMI2,P,2989,2129,2177,205,95,20,0,3042,2491,3883,175,66,31,18
MNMI,P,4229,3630,3524,0,0,0,0,2232,2535,4651,0,0,0,0
ONTO2,P,4688,772,4716,58,0,30,18,2056,4039,2013,94,0,42,42
CTHA,P,4628,181,4134,0,0,0,0,1124,3204,230,0,0,0,0
OKOK,P,3764,4612,3798,0,0,0,0,3169,2341,2004,0,0,0,0
FLBR,P,4184,2383,4707,18,3,3,12,2797,3992,4517,41,3,2,6
TNKN,P,3196,3675,4504,45,0,15,0,4489,2393,1249,0,0,0,0
CTHA,P,1784,4812,3634,25,0,5,0,3718,236,558,38,0,18,10
DCWA,P,1389,166,611,187,187,0,0,2377,1748,422,208,208,0,0
TXSA,P,3240,3353,2158,0,0,0,0,801,3943,2587,18,0,0,18
ONTO2,P,4783,772,1114,60,0,42,18,4083,1310,4069,13,0,9,4
DCWA,P,379,383,3123,31,3,16,12,623,2534,2914,3,0,3,0
OKOK,P,4349,2765,476,0,0,0,0,932,4005,3593,0,0,0,0
MNMI,P,2705,2450,2181,0,0,0,0,3292,2501,4859,0,0,0,0
TNKN,P,4025,4265,3783,0,0,0,0,2190,3984,3856,0,0,0,0
OHCL,P,639,1450,4121,19,0,9,0,3777,2603,1787,3,3,0,0
CTHA,P,4609,2064,3104,2,0,2,0,558,236,3555,0,0,0,0
TNKN,P,4092,3972,4020,11,0,1,0,3824,1319,4576,0,0,0,0
FLBR,P,2797,1683,4321,24,0,6,18,3659,1523,4517,6,0,6,0
DCWA,P,836,383,3123,48,0,36,12,2421,79,2900,0,0,0,0
ONTO2,P,2185,772,771,53,23,18,12,4817,4039,2634,81,23,36,22
MNMI,P,4536,3007,2509,10,0,0,10,3244,2480,2470,0,0,0,0
TNKN,P,4098,1311,547,3,0,3,0,2614,3829,1225,0,0,0,0
CTHA,P,395,999,2785,0,0,0,0,3718,2170,4254,23,0,17,6
DCWA,P,53,383,3123,21,0,15,6,3941,2974,138,97,15,48,24
FLBR,P,1683,3932,21,6,0,0,6,4262,4592,59,0,0,0,0
TNKN,P,3196,4264,3227,20,0,0,0,2817,3844,3966,0,0,0,0
DCWA,P,3123,614,2961,6,0,0,6,2642,379,1885,50,0,32,18
CTHA,P,263,3719,1699,0,0,0,0,173,1071,2067,12,0,2,0
OHCL,P,4283,1270,2340,10,0,0,0,4675,1248,1787,0,0,0,0
FLBR,P,1251,4471,4088,6,0,0,6,4013,1065,3242,0,0,0,0
TNKN,P,3196,2856,2393,10,0,0,0,3259,4642,3675,0,0,0,0
CTHA,P,1027,3464,1218,31,0,21,0,694,3059,230,0,0,0,0
FLBR,P,168,3938,3472,3,0,3,0,21,4184,4706,0,0,0,0
OHCL,P,1747,3266,1590,2,0,2,0,4085,4119,695,40,0,30,0
DCWA,P,620,1915,4067,0,0,0,0,2912,1522,1849,0,0,0,0
CTHA,P,20,4572,4812,0,0,0,0,237,228,181,0,0,0,0
OHCL,P,1528,4145,4780,18,0,18,0,2399,340,3591,9,9,0,0
DCWA,P,1418,383,1735,0,0,0,0,615,1719,4466,0,0,0,0
TNKN,P,4306,3116,2393,0,0,0,0,4740,3783,4016,0,0,0,0
FLBR,P,3653,832,3376,4,0,4,0,180,108,1902,0,0,0,0
CTHA,P,4134,175,3146,0,0,0,0,4097,3634,2205,0,0,0,0
TNKN,P,3856,829,4462,0,0,0,0,1249,3961,4396,0,0,0,0
OHCL,P,3496,2197,1507,10,0,0,0,3266,781,2016,31,0,21,0
CTHA,P,3525,4055,839,0,0,0,0,3204,1289,3461,0,0,0,0
TNKN,P,4489,3843,3140,0,0,0,0,4721,3984,3821,0,0,0,0
TNKN,P,3516,4554,3861,0,0,0,0,4504,4265,3797,0,0,0,0
DCWA,P,3123,2415,686,15,0,9,6,379,2911,2121,0,0,0,0
CTHA,P,1740,1124,558,10,0,0,0,1991,195,95,0,0,0,0
OHCL,P,2834,4165,120,0,0,0,0,2603,1317,706,66,0,48,18
FLBR,P,1369,86,3502,13,0,7,6,744,4224,4052,32,0,14,18
DCWA,P,2537,2186,3123,15,0,9,6,1195,339,612,0,0,0,0
OHCL,P,4385,201,2228,0,0,0,0,4142,2252,1629,0,0,0,0
CTHA,P,1665,177,2836,18,0,6,2,2168,4628,571,16,0,6,0
NJLEN,E,1089,433,365,82,0,42,30,316,2495,2729,102,0,54,38
NJFLA,E,222,11,3340,133,0,69,34,1676,714,3314,123,23,42,38
NJLEN,E,365,1089,433,96,0,54,22,316,2495,2729,108,0,54,34
NJFLA,E,11,3340,222,81,0,21,40,1676,714,3314,116,29,39,38
NJFLA,E,11,222,3340,137,9,68,40,714,3314,1676,79,0,35,24
NJLEN,E,1923,1279,1712,64,3,39,12,433,1089,365,93,0,43,30
NJLEN,E,225,1403,203,114,0,72,42,2495,316,2729,127,0,69,38
NJLEN,E,1279,1712,1923,63,3,32,18,1089,365,433,98,0,48,30
NJFLA,E,303,4653,219,88,6,36,36,3314,1676,714,92,0,28,34
NJLEN,E,225,203,1403,115,3,62,30,2495,2729,316,138,6,70,42
NJFLA,E,11,222,3340,126,0,62,34,1367,3929,75,62,0,6,6
NJLEN,E,1712,1279,1923,68,0,26,42,365,1089,433,63,0,21,12
NJFLA,E,303,4653,219,64,3,27,24,1676,714,3314,99,3,32,44
NJFLA,E,222,11,3340,174,20,84,40,3929,75,1367,70,0,2,18
NJLEN,E,1089,365,433,59,0,17,22,87,1626,484,56,3,19,24
NJFLA,E,714,1676,3314,73,0,23,30,102,555,4285,70,6,18,26
NJFLA,E,4653,303,219,70,6,24,30,4361,136,2577,20,0,16,4
NJLEN,E,2495,316,2729,161,3,98,40,816,2559,2191,51,3,22,6
NJFLA,E,1228,193,1811,63,0,21,22,75,3929,1367,74,0,6,18
NJLEN,E,203,1403,225,151,35,76,30,204,4575,3151,57,3,12,42
NJFLA,E,3340,222,11,154,0,84,40,4475,1672,1881,74,0,42,22
NJFLA,E,714,1676,3314,85,0,39,36,555,4285,102,70,0,20,30
NJLEN,E,1089,433,365,106,3,47,36,1626,87,484,58,0,24,24
NJFLA,E,303,4653,219,94,9,33,32,4361,136,2577,14,0,14,0
NJLEN,E,293,3607,1647,55,3,22,30,1923,1712,1279,85,0,43,42
NJFLA,E,1228,193,1811,43,9,12,22,3929,1367,75,78,0,6,22
NJLEN,E,2495,2729,316,146,20,72,44,2191,2559,816,56,3,19,14
NJFLA,E,11,222,3340,96,0,26,40,4475,1881,1672,30,0,20,10
NJLEN,E,225,1403,203,159,6,87,36,204,4575,3151,67,0,37,20
NJLEN,E,365,433,1089,63,0,33,10,484,87,1626,82,0,32,30
NJLEN,E,293,1647,3607,78,3,41,24,1712,1923,1279,103,0,53,30
NJFLA,Q,1228,219,102,82,9,17,36,41,3929,3142,18,0,6,12
NJFLA,Q,555,3123,4035,24,3,7,4,2577,2070,2554,16,0,0,6
NJFLA,Q,4650,3314,1367,64,0,18,36,4361,11,4653,81,0,43,28
NJFLA,Q,714,2458,1881,28,0,4,14,303,4285,1302,74,6,30,18
NJLEN,Q,484,1089,365,42,0,2,30,3151,2191,4575,64,0,24,30
NJFLA,Q,4475,136,1989,10,0,6,4,193,1672,1676,72,3,27,22
NJLEN,Q,2729,316,321,123,3,54,36,4637,433,204,59,3,6,20
NJFLA,Q,3340,2600,222,46,0,14,22,1302,75,1811,57,3,0,4
NJLEN,Q,1647,2180,423,62,0,32,30,203,1279,1923,66,0,16,30
NJFLA,Q,4475,11,1672,68,0,20,28,2070,4653,102,24,0,12,12
NJFLA,Q,714,222,3142,91,0,41,30,2554,2458,3340,45,0,9,16
NJLEN,Q,1403,3607,4750,60,0,24,26,87,1626,2559,98,9,35,24
NJFLA,Q,2600,219,555,49,0,19,10,1228,3314,193,89,3,30,36
NJFLA,Q,3123,1989,3929,28,0,2,16,1367,75,303,52,6,6,30
NJFLA,Q,2577,1811,1676,76,9,35,22,4650,1881,41,20,0,4,6
NJLEN,Q,1712,816,3167,62,0,30,22,2495,225,293,134,0,76,38
NJFLA,Q,75,4285,4035,22,0,10,12,1367,136,4361,67,20,19,18
NJLEN,Q,4575,1923,433,85,0,31,44,4750,484,1168,59,0,7,12
NJFLA,Q,1302,4653,1672,42,0,18,4,41,1228,2554,60,0,26,24
NJFLA,Q,11,136,2070,84,6,50,18,714,3314,3929,37,0,9,18
NJLEN,Q,293,1089,2180,75,0,17,48,2729,423,2191,42,0,24,18
NJLEN,Q,3607,316,1712,85,3,54,18,87,1647,225,106,26,18,42
NJLEN,Q,3167,1168,204,75,0,17,18,4637,3151,321,20,0,2,18
NJLEN,Q,365,816,203,98,0,40,28,2559,1403,1279,67,0,15,42
NJFLA,Q,1811,4035,219,27,0,7,0,3340,4475,3142,12,0,8,4
NJLEN,Q,3167,321,1626,58,0,30,18,1089,3607,2495,59,3,44,12
NJFLA,Q,2458,4361,555,21,0,1,10,2600,1989,1881,17,0,5,12
NJLEN,Q,87,2191,484,57,3,36,18,816,1168,1923,58,0,8,10
NJFLA,Q,102,4650,2577,18,0,12,6,1676,303,222,101,9,48,24
NJLEN,Q,2180,2729,204,48,0,8,30,2495,4575,1626,69,0,39,20
NJFLA,Q,4653,41,4285,26,0,8,18,136,193,3123,44,3,25,16
NJLEN,Q,203,2559,1712,49,0,5,24,316,423,293,94,0,60,24
NJFLA,Q,3142,4035,2458,17,3,4,0,3929,3340,1676,80,0,32,28
NJLEN,Q,4750,225,4637,43,9,12,22,365,1403,1647,80,0,24,36
AZCH,E,842,3944,1726,114,3,39,32,2839,60,3785,50,0,4,26
AZCH,E,3944,842,1726,111,0,45,26,60,3785,2839,69,3,0,26
AZCH,E,1290,4183,1165,46,0,14,12,60,2839,3785,62,0,0,22
AZCH,E,4183,1165,1290,56,0,24,12,60,2839,3785,61,0,5,26
AZCH,E,842,1726,3944,100,0,24,26,2840,1492,4146,59,0,31,18
CALB,E,981,599,3512,88,0,54,24,1836,1717,973,140,0,78,42
AZCH,E,1165,1290,4183,83,3,6,24,60,3785,2839,78,0,12,26
AZCH,E,1726,3944,842,114,0,26,38,4146,1492,2840,87,0,49,18
CALB,E,3512,981,599,104,0,60,34,973,1836,1717,133,20,63,30
CASA,E,1868,399,1388,60,0,0,30,3189,2489,701,76,3,39,24
AZCH,E,60,2839,3785,76,20,0,16,2403,3019,2449,0,0,6,32
