event,type,red1,red2,red3,redFinal,redFoul,redAuto,redTeleop,blue1,blue2,blue3,blueFinal,blueFoul,blueAuto,blueTeleop
MDBA,Q,2849,238,2638,94,0,44,40,2537,3650,4099,67,0,27,30
MRCMP,Q,1228,1881,1279,95,0,31,54,869,2559,2590,116,9,41,36
MICMP,Q,3604,503,280,125,6,45,54,862,1189,2611,173,0,95,48
MDBA,Q,329,1699,2866,111,6,65,30,4505,1389,3941,87,0,31,36
MRCMP,Q,1672,1626,484,71,0,29,22,11,1403,222,164,0,92,42
MICMP,Q,2767,2612,858,146,0,84,42,3602,1718,2771,101,6,45,30
MDBA,Q,4638,3389,1086,85,0,39,26,4067,3150,2172,73,3,42,18
MRCMP,Q,193,433,1640,135,0,69,36,3974,1218,2729,187,0,109,48
MICMP,Q,548,70,245,102,26,38,18,3641,2337,573,150,0,72,48
MDBA,Q,1885,3714,2534,40,0,0,30,53,2546,45,50,3,29,18
MRCMP,Q,4475,1089,2607,117,0,55,42,224,2539,4342,135,0,51,54
MICMP,Q,2137,314,2474,135,0,65,60,4391,1023,123,81,0,15,36
MDBA,Q,4122,250,623,99,0,35,54,1895,2421,87,85,0,37,18
MRCMP,Q,869,293,1279,123,20,47,36,486,56,225,119,0,51,48
MICMP,Q,2000,2619,2145,158,0,104,44,2959,1025,4384,148,0,72,36
MDBA,Q,2963,4464,2028,44,0,6,18,4456,2377,2199,93,0,27,36
MRCMP,Q,1143,1228,1302,96,0,58,18,4285,3314,303,138,3,75,30
MICMP,Q,2054,4377,51,126,3,49,54,862,857,1701,131,0,63,48
MDBA,Q,375,686,4514,97,0,43,44,2912,329,3455,94,0,50,34
MRCMP,Q,1676,2559,357,138,6,72,30,272,484,75,86,0,28,18
MICMP,Q,1918,217,2611,139,3,66,30,2767,3602,3572,120,3,49,48
MDBA,Q,4505,768,2537,70,0,30,20,3389,1559,1111,68,0,12,36
MICMP,Q,3641,2834,1504,96,0,50,36,141,2851,3656,118,23,23,42
MRCMP,Q,3340,1391,1881,83,0,45,28,1923,222,816,162,0,90,42
MDBA,Q,2641,3150,53,64,3,25,26,2819,3419,3283,18,0,0,18
MICMP,Q,3688,67,4130,190,3,111,26,494,2612,4325,161,0,75,66
MRCMP,Q,223,1403,4460,91,0,39,22,316,2590,4575,167,0,71,66
MDBA,Q,4541,3650,1885,76,0,20,6,2421,3748,122,22,0,0,12
MICMP,Q,910,70,3414,58,0,0,48,858,2673,3604,46,0,0,36
MRCMP,Q,4475,103,2495,60,0,34,6,1218,1370,714,150,3,69,48
MICMP,Q,245,1189,1718,167,6,87,54,1684,33,27,146,0,68,58
MDBA,Q,2199,1895,3793,40,0,4,16,2172,3714,2866,13,0,3,0
MRCMP,Q,224,1302,1672,66,0,24,22,1228,3974,357,81,0,49,12
MICMP,Q,3618,2337,107,139,0,37,72,469,2960,503,145,20,63,42
MRCMP,Q,1881,1923,484,92,0,54,18,193,1279,303,114,3,55,36
MDBA,Q,4288,4638,1719,55,0,21,24,250,2028,888,72,0,18,24
MICMP,Q,326,3421,3539,195,3,126,46,548,280,68,113,0,57,36
MRCMP,Q,1391,293,2729,135,6,57,42,869,1143,3314,88,0,34,34
MDBA,Q,87,1708,2534,113,0,57,36,3373,4067,4464,61,0,21,30
MICMP,Q,217,2771,3234,102,0,56,36,314,573,4381,148,3,73,42
MRCMP,Q,433,56,222,99,6,51,22,4575,1089,223,96,3,45,18
MDBA,Q,4266,4050,45,52,0,12,30,1086,365,4099,72,0,28,34
MICMP,Q,2673,2959,3656,141,0,69,42,4377,2137,3604,66,6,36,24
MRCMP,Q,2607,4285,272,118,3,45,30,1626,3340,2590,145,0,63,52
MICMP,Q,1189,3641,141,156,3,69,54,2612,857,123,101,3,38,30
MDBA,Q,1699,2377,2638,117,0,65,42,2640,2528,623,88,0,12,36
MRCMP,Q,11,486,714,89,0,21,48,225,316,4342,174,23,95,36
MICMP,Q,67,51,3572,143,0,75,48,1684,4130,1023,59,0,21,18
MRCMP,Q,1370,4460,1676,101,6,57,18,2539,816,1640,49,3,24,12
MDBA,Q,1389,449,2546,50,9,3,38,128,4122,2849,104,0,42,42
MICMP,Q,3539,33,494,128,0,58,60,2145,3618,469,213,26,119,48
MDBA,Q,250,2172,238,53,3,12,18,686,3748,3941,64,0,22,12
MRCMP,Q,2729,103,1403,141,0,65,36,2495,75,2559,95,0,47,18
MICMP,Q,1718,1701,2000,146,20,58,48,3602,3421,548,106,0,52,24
MRCMP,Q,56,224,4575,123,20,57,36,1228,484,3340,65,0,29,16
MDBA,Q,329,1719,3373,91,0,63,18,2819,4541,3389,54,0,6,18
MICMP,Q,107,4325,2960,101,3,42,36,2054,245,2834,213,0,111,72
MDBA,Q,2421,4505,375,90,3,33,34,53,2963,1708,70,3,33,24
MICMP,Q,3688,2767,2771,118,0,56,42,910,4384,68,106,0,78,18
MRCMP,Q,193,714,2590,132,0,66,36,316,1302,1391,86,0,48,18
MICMP,Q,326,1025,4381,88,3,19,36,2337,27,3414,152,20,76,36
MDBA,Q,2640,1111,3455,80,3,45,12,2199,4638,1885,89,3,38,18
MRCMP,Q,4460,1279,4285,119,0,71,28,433,1672,1218,82,3,27,22
MICMP,Q,1918,4391,2474,131,0,49,42,280,1504,573,98,0,42,36
MDBA,Q,3283,1389,1699,63,0,27,36,45,4288,87,69,29,18,12
MRCMP,Q,1626,4342,1403,116,3,41,42,2539,3974,869,116,20,38,38
MICMP,Q,2611,2851,3234,91,0,29,42,70,862,2619,139,0,77,42
MRCMP,Q,816,2495,3314,90,0,50,30,1089,1640,75,102,20,56,6
MDBA,Q,3941,3650,623,77,0,43,24,2546,4266,4456,52,0,18,14
MICMP,Q,1701,3656,858,124,3,59,42,123,3539,503,159,0,69,60
MRCMP,Q,486,272,357,101,0,47,24,4475,1923,1370,133,0,59,54
MDBA,Q,3793,768,1086,13,0,9,4,2377,2912,2849,66,32,24,10
MICMP,Q,141,2960,857,102,0,34,48,910,2000,2959,145,0,77,48
MRCMP,Q,225,223,1881,98,9,31,48,222,1143,103,126,0,48,48
MDBA,Q,2537,2534,122,63,0,9,34,888,3150,1895,63,0,29,14
MICMP,Q,51,3618,1189,107,0,59,18,3421,2771,1025,69,0,27,12
MICMP,Q,3688,3602,245,139,0,87,42,2145,3572,2137,159,23,92,24
MRCMP,Q,2559,11,293,153,0,87,36,2607,303,1676,119,3,48,48
MDBA,Q,4514,2638,4464,18,0,12,6,4122,365,2866,33,3,12,18
MICMP,Q,3234,27,2673,132,0,68,54,1504,107,67,160,3,111,36
MRCMP,Q,1403,1672,1279,135,0,65,40,3314,3340,714,43,0,21,22
MDBA,Q,2528,2641,3419,74,0,14,30,3714,128,4099,42,0,42,0
MICMP,Q,3414,469,4377,140,0,66,54,280,217,3641,72,6,20,36
MRCMP,Q,4475,1228,224,92,0,36,36,433,2729,816,89,0,37,22
MICMP,Q,1918,573,70,159,23,66,60,1718,4325,2619,151,3,102,36
MDBA,Q,2028,4067,238,52,0,12,30,4050,1559,449,132,0,60,42
MRCMP,Q,1881,869,4285,105,0,47,28,4575,1370,2495,61,0,11,30
MICMP,Q,2474,3604,1684,105,0,81,24,314,33,326,193,0,119,54
MDBA,Q,2849,2819,4456,28,0,8,0,4638,3748,1708,46,6,14,16
MRCMP,Q,484,303,2539,111,12,33,36,225,1302,3974,74,3,27,24
MICMP,Q,548,503,1023,113,0,15,48,4381,2767,494,149,0,69,60
MDBA,Q,2963,2640,888,26,0,10,6,1086,2546,4541,31,0,3,8
MRCMP,Q,272,1218,1391,135,6,57,42,316,223,75,136,3,47,36
MICMP,Q,2054,2612,2851,189,3,90,66,2611,4391,68,125,0,83,12
MDBA,Q,122,2377,2172,48,0,2,16,1111,4266,87,40,0,12,18
MRCMP,Q,4460,2559,103,96,12,36,28,486,222,1626,82,0,36,36
MDBA,Q,3793,365,1699,96,9,47,30,128,3150,250,93,3,52,18
MRCMP,Q,11,1089,2590,144,0,60,54,293,1640,357,96,3,39,24
MDBA,Q,686,4505,1895,91,0,47,24,1719,4050,3283,45,0,29,6
MRCMP,Q,1676,1143,4342,114,40,30,44,56,1923,193,132,0,54,48
MDBA,Q,4067,3650,2199,119,40,21,48,4514,4288,2537,59,0,27,12
